Epoch: 1; Avg Loss: 2.4730; Test acc: 0.7297; Duration: 252.25s; Device: cuda
Epoch: 2; Avg Loss: 0.8544; Test acc: 0.8038; Duration: 251.56s; Device: cuda
Epoch: 3; Avg Loss: 0.5687; Test acc: 0.8208; Duration: 251.27s; Device: cuda
Epoch: 4; Avg Loss: 0.4268; Test acc: 0.8307; Duration: 251.43s; Device: cuda
Epoch: 5; Avg Loss: 0.3307; Test acc: 0.8335; Duration: 251.44s; Device: cuda
Epoch: 6; Avg Loss: 0.2584; Test acc: 0.8412; Duration: 252.05s; Device: cuda
Epoch: 7; Avg Loss: 0.2052; Test acc: 0.8415; Duration: 251.47s; Device: cuda
Epoch: 8; Avg Loss: 0.1703; Test acc: 0.8426; Duration: 251.67s; Device: cuda
Epoch: 9; Avg Loss: 0.1387; Test acc: 0.8428; Duration: 251.12s; Device: cuda
Epoch: 10; Avg Loss: 0.1170; Test acc: 0.8423; Duration: 251.58s; Device: cuda
Epoch: 11; Avg Loss: 0.1000; Test acc: 0.8408; Duration: 251.97s; Device: cuda
Epoch: 12; Avg Loss: 0.0889; Test acc: 0.8424; Duration: 251.98s; Device: cuda
Epoch: 13; Avg Loss: 0.0783; Test acc: 0.8432; Duration: 251.39s; Device: cuda
Epoch: 14; Avg Loss: 0.0682; Test acc: 0.8478; Duration: 251.76s; Device: cuda
Epoch: 15; Avg Loss: 0.0622; Test acc: 0.8446; Duration: 251.88s; Device: cuda
Epoch: 16; Avg Loss: 0.0586; Test acc: 0.8465; Duration: 250.79s; Device: cuda
Epoch: 17; Avg Loss: 0.0554; Test acc: 0.8458; Duration: 251.52s; Device: cuda
Epoch: 18; Avg Loss: 0.0524; Test acc: 0.8482; Duration: 251.90s; Device: cuda
Epoch: 19; Avg Loss: 0.0465; Test acc: 0.8433; Duration: 251.69s; Device: cuda
Epoch: 20; Avg Loss: 0.0439; Test acc: 0.8474; Duration: 251.09s; Device: cuda
Epoch: 21; Avg Loss: 0.0426; Test acc: 0.8474; Duration: 252.50s; Device: cuda
Epoch: 22; Avg Loss: 0.0406; Test acc: 0.8437; Duration: 251.22s; Device: cuda
Epoch: 23; Avg Loss: 0.0390; Test acc: 0.8479; Duration: 251.83s; Device: cuda
Epoch: 24; Avg Loss: 0.0358; Test acc: 0.8483; Duration: 253.09s; Device: cuda
Epoch: 25; Avg Loss: 0.0356; Test acc: 0.8479; Duration: 252.81s; Device: cuda
Epoch: 26; Avg Loss: 0.0311; Test acc: 0.8472; Duration: 252.73s; Device: cuda
Epoch: 27; Avg Loss: 0.0308; Test acc: 0.8499; Duration: 252.69s; Device: cuda
Epoch: 28; Avg Loss: 0.0303; Test acc: 0.8468; Duration: 252.23s; Device: cuda
Epoch: 29; Avg Loss: 0.0315; Test acc: 0.8505; Duration: 251.59s; Device: cuda
Epoch: 30; Avg Loss: 0.0270; Test acc: 0.8473; Duration: 251.51s; Device: cuda
